model_id,epoch,loss,,,,,
8,1,2.9923,,,,,
8,2,2.8681,,,,,
8,3,2.8518,,,,,
8,4,2.836,,,,,
8,5,2.8318,,,,,{'L2': 5.46226692199707}
8,6,2.8244,,,,,
8,7,2.8192,,,,,
8,8,2.8138,,,,,
8,9,2.8109,,,,,
8,10,2.807,,,,,
8,11,2.8086,,,,,
8,12,2.8045,,,,,
8,13,2.8014,,,,,
8,14,2.7992,,,,,
8,15,2.7978,,,,,
8,16,2.797,,,,,
8,17,2.7958,,,,,
8,18,2.7935,,,,,
8,19,2.792,,,,,
8,20,2.7881,,,,,
8,21,2.7886,,,,,
8,22,2.7847,,,,,
8,23,2.7853,,,,,
8,24,2.7842,,,,,
8,25,2.784,,,,,
8,26,2.7789,,,,,
8,27,2.7814,,,,,
8,28,2.7816,,,,,
8,29,2.7793,,,,,
9,1,0.7582,,,,,
9,2,0.0364,,,,,
9,3,0.0195,,,,,
9,4,0.0127,,,,,
9,5,0.009,,,,,
9,6,0.0063,,,,,
9,7,0.0048,,,,,
9,8,0.0038,,,,,
9,9,0.003,,,,,
9,10,0.0024,,,,,
9,11,0.002,,,,,
9,12,0.0018,,,,,
9,13,0.0015,,,,,
9,14,0.0013,,,,,
9,15,0.0011,,,,,
9,16,0.0009,,,,,
9,17,0.0009,,,,,
9,18,0.0008,,,,,
9,19,0.0007,,,,,
9,20,0.0006,,,,,
9,21,0.0005,,,,,
9,22,0.0005,,,,,
9,23,0.0005,,,,,
9,24,0.0004,,,,,
9,25,0.0004,,,,,
9,26,0.0003,,,,,
9,27,0.0003,,,,,
9,28,0.0003,,,,,
9,29,0.0003,,,,,
9,30,0.0002,,,,,
10,1,0.5709,,,,,
10,2,0.0516,,,,,
10,3,0.0167,,,,,
10,4,0.0091,,,,,
10,5,0.0056,,,,,
10,6,0.0045,,,,,
10,7,0.0036,,,,,
10,8,0.0033,,,,,
10,9,0.0032,,,,,
10,10,0.003,,,,,
10,11,0.0028,,,,,
10,12,0.0027,,,,,
10,13,0.0026,,,,,
10,14,0.0025,,,,,
10,15,0.0025,,,,,
11,1,0.4981,,,,,
11,2,0.0445,,,,,
11,3,0.0134,,,,,
11,4,0.0075,,,,,
11,5,0.0048,,,,,
11,6,0.0036,,,,,
11,7,0.003,,,,,
11,8,0.0025,,,,,
11,9,0.0024,,,,,
11,10,0.0024,,,,,
11,11,0.0023,,,,,
11,12,0.002,,,,,
11,13,0.002,,,,,
11,14,0.0019,,,,,
11,15,0.0019,,,,,
12,1,1.0273,,,,,
12,2,0.2839,,,,,
12,3,0.0728,,,,,
12,4,0.0236,,,,,
12,5,0.0109,,,,,
12,6,0.0064,,,,,
12,7,0.0052,,,,,
12,8,0.004,,,,,
12,9,0.004,,,,,
12,10,0.0044,,,,,
12,11,0.0045,,,,,
12,12,0.0039,,,,,
12,13,0.004,,,,,
12,14,0.0032,,,,,
12,15,0.0031,,,,,
11,1,0.0122,,,,,
11,2,0.0046,,,,,
11,3,0.0038,,,,,
11,4,0.0043,,,,,
11,5,0.0048,,,,,
11,6,0.0033,,,,,
11,7,0.0025,,,,,
11,8,0.0026,,,,,
11,9,0.0024,,,,,
11,10,0.0021,,,,,
11,11,0.0018,,,,,
11,12,0.0018,,,,,
11,13,0.0018,,,,,
11,14,0.0017,,,,,
11,15,0.0015,,,,,
