model_id,epoch,loss,,,,,,
6,1,3.07,,,,,,
6,2,0.1215,,submission,5,,Seed,port
6,3,0.0743,,Model,cifar10_resnet20,,69699351,9478
6,4,0.058,,Num Epochs,30,,,
6,5,0.053,,Batch Size,32,,,
6,6,0.0505,,LR,1.00E-03,,,
6,7,0.0487,,Lambda,30,,,
6,8,0.0464,,Portion of data used,4 out of 13,,,
6,9,0.0446,,,,,,
6,10,0.042,,l2 loss,6.654854298,,,
6,11,0.0403,,,,,,
6,12,0.0396,,,,,,
6,13,0.0381,,,,,,
6,14,0.0377,,,,,,
6,15,0.036,,,,,,
6,16,0.0357,,,,,,
6,17,0.0355,,,,,,
6,18,0.0344,,,,,,
6,19,0.033,,,,,,
6,20,0.0343,,,,,,
6,21,0.0329,,,,,,
6,22,0.0321,,,,,,
6,23,0.0312,,,,,,
6,24,0.0312,,,,,,
6,25,0.031,,,,,,
6,26,0.0305,,,,,,
6,27,0.0307,,,,,,
6,28,0.0305,,,,,,
6,29,0.0295,,,,,,
6,30,0.0297,,,,,,
